Kecamatan,Jenis Tanaman Buah-buahan,Jumlah Tanaman,Jenis Ternak,Jumlah Populasi Ternak,Kecamatan,Jenis Ternak,Jumlah Kelompok Peternakan
Kec. Suwawa Tengah,Pepaya,195,Itik,104,,,
Kec. Suwawa Tengah,Pisang,"3,565",Puyuh,"2,500",,,
Kec. Suwawa Tengah,Sirsak,50,Merpati,19,,,
Kec. Suwawa Selatan,Duku/Langsat,582,Sapi Potong,"1,856",,,
Kec. Suwawa Selatan,Durian,593,Kambing,181,,,
Kec. Suwawa Selatan,Mangga,131,Ayam Buras,"50,209",,,
Kec. Suwawa Selatan,Nangka,43,Ayam Ras Pedaging,"7,100",,,
Kec. Suwawa Selatan,Pepaya,352,Itik,128,,,
Kec. Suwawa Selatan,Pisang,"1,667",Puyuh,5,,,
Kec. Suwawa Selatan,Sirsak,50,Merpati,0,,,
Kec. Suwawa Timur,Duku/Langsat,"1,525",Sapi Potong,"2,352",,,
Kec. Suwawa Timur,Durian,"2,115",Kambing,208,,,
Kec. Suwawa Timur,Mangga,648,Ayam Buras,"6,753",,,
Kec. Suwawa Timur,Nangka,115,Ayam Ras Pedaging,0,,,
Kec. Suwawa Timur,Pepaya,385,Itik,103,,,
Kec. Suwawa Timur,Pisang,"2,572",Puyuh,12,,,
Kec. Suwawa Timur,Sirsak,0,Merpati,25,,,
Kec. Pinogu,Duku/Langsat,150,Sapi Potong,"1,003",,,
Kec. Pinogu,Durian,100,Kambing,80,,,
Kec. Pinogu,Mangga,220,Ayam Buras,"5,343",,,
Kec. Pinogu,Nangka,6,Ayam Ras Pedaging,0,,,
Kec. Pinogu,Pepaya,100,Itik,0,,,
Kec. Pinogu,Pisang,613,Puyuh,3,,,
Kec. Pinogu,Sirsak,0,Merpati,0,,,
Kec. Bonepantai,Duku/Langsat,0,Sapi Potong,"2,536",,,
Kec. Bonepantai,Durian,87,Kambing,719,,,
Kec. Bonepantai,Mangga,100,Ayam Buras,"23,868",,,
Kec. Bonepantai,Nangka,53,Ayam Ras Pedaging,0,,,
Kec. Bonepantai,Pepaya,62,Itik,132,,,
Kec. Bonepantai,Pisang,150,Puyuh,0,,,
Kec. Bonepantai,Sirsak,50,Merpati,27,,,
Kec. Kabila Bone,Duku/Langsat,0,Sapi Potong,"2,235",,,
Kec. Kabila Bone,Durian,40,Kambing,"1,773",,,
Kec. Kabila Bone,Mangga,635,Ayam Buras,"17,848",,,
Kec. Kabila Bone,Nangka,0,Ayam Ras Pedaging,0,,,
Kec. Kabila Bone,Pepaya,50,Itik,312,,,
Kec. Kabila Bone,Pisang,"1,412",Puyuh,4,,,
Kec. Kabila Bone,Sirsak,0,Merpati,102,,,
Kec. Bone Raya,Duku/Langsat,0,Sapi Potong,"1,293",,,
Kec. Bone Raya,Durian,75,Kambing,573,,,
Kec. Bone Raya,Mangga,35,Ayam Buras,"8,135",,,
Kec. Bone Raya,Nangka,0,Ayam Ras Pedaging,"1,300",,,
Kec. Bone Raya,Pepaya,0,Itik,161,,,
Kec. Bone Raya,Pisang,"10,011",Puyuh,0,,,
Kec. Bone Raya,Sirsak,0,Merpati,21,,,
Kec. Bulawa,Duku/Langsat,0,Sapi Potong,"1,439",,,
Kec. Bulawa,Durian,"2,000",Kambing,660,,,
Kec. Bulawa,Mangga,935,Ayam Buras,"7,574",,,
Kec. Bulawa,Nangka,0,Ayam Ras Pedaging,0,,,
Kec. Bulawa,Pepaya,100,Itik,145,,,
Kec. Bulawa,Pisang,500,Puyuh,0,,,
Kec. Bulawa,Sirsak,10,Merpati,30,,,
Kec. Bone,Duku/Langsat,354,Sapi Potong,"1,480",,,
Kec. Bone,Durian,"13,596",Kambing,834,,,
Kec. Bone,Mangga,123,Ayam Buras,"7,398",,,
Kec. Bone,Nangka,184,Ayam Ras Pedaging,0,,,
Kec. Bone,Pepaya,57,Itik,188,,,
Kec. Bone,Pisang,"1,883",Puyuh,0,,,
Kec. Bone,Sirsak,0,Merpati,42,,,
